Type,Latitude,Longitude,Gender,Age range,Self-defined ethnicity,Officer-defined ethnicity,Outcome,Removal of more than just outer clothing,Road name,postcode,Postal code,Time difference
1,51.513194,-0.092321,1,2,8,3,4,0,Pancras Lane,"HSBC UK, Pancras Lane, Cheap, City of London, Greater London, England, EC4N 1SE, United Kingdom",EC4N 1SE,24.0
0,51.508066,-0.08778,1,2,14,3,1,0,King William Street,"London Bridge, King William Street, Cornhill, City of London, Greater London, England, EC4R 9AN, United Kingdom",EC4R 9AN,2.0
1,51.516006,-0.080573,1,2,13,1,6,0,Outwich Street,"Outwich Street, Bishopsgate, City of London, Greater London, England, EC3A 7AB, United Kingdom",EC3A 7AB,46.0
0,51.515606,-0.094094,1,1,7,1,4,0,Gresham Street,"55 Gresham Street, 55, Gresham Street, Cheap, City of London, Greater London, England, EC2V 7EL, United Kingdom",EC2V 7EL,27.0
1,51.516497,-0.094115,1,1,13,2,0,0,,"Cheap, City of London, Greater London, England, EC2V 7AF, United Kingdom",EC2V 7AF,2.0
0,51.510913,-0.101395,1,1,0,0,1,0,White Lion Hill,"White Lion Hill, Blackfriars, City of London, Greater London, England, EC4V 3DB, United Kingdom",EC4V 3DB,21.0
1,51.516814,-0.08162,1,1,5,1,0,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,25.0
1,51.516814,-0.08162,1,1,5,1,1,0,Alderman's Walk,"St Botolph-without-Bishopsgate, Alderman's Walk, Bishopsgate, City of London, Greater London, England, EC2M 3TL, United Kingdom",EC2M 3TL,1.0
1,51.516508,-0.079398,1,1,8,3,4,0,Devonshire Square,"14,15, Devonshire Square, Bishopsgate, City of London, Greater London, England, EC2M 4YT, United Kingdom",EC2M 4YT,1.0
0,51.518864,-0.097562,1,1,14,3,4,0,Aldersgate Street,"160, Aldersgate Street, Cheap, City of London, Greater London, England, EC1A 4HT, United Kingdom",EC1A 4HT,74.0
0,51.518226,-0.111497,1,1,1,0,1,0,High Holborn,"Caffè Vergnano, 337-338, High Holborn, Gray's Inn, Holborn, London Borough of Camden, London, Greater London, England, WC1V 7PX, United Kingdom",WC1V 7PX,23.0
