,Type,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
803,Person and Vehicle search,2020-02-20T10:56:24+00:00,51.511749,-0.108018,Controlled drugs,1
804,Person search,2020-02-20T11:32:56+00:00,51.51265,-0.101452,Stolen goods,1
805,Person search,2020-02-21T02:38:29+00:00,51.513885,-0.102741,Stolen goods,1
806,Person search,2020-02-21T02:39:08+00:00,51.513885,-0.102741,Stolen goods,1
817,Person search,2020-02-22T07:49:58+00:00,51.512598,-0.084967,Stolen goods,1
826,Person search,2020-02-24T02:22:03+00:00,51.51144,-0.083993,Stolen goods,1
831,Person search,2020-02-24T12:04:12+00:00,51.514203,-0.094628,Article for use in theft,1
835,Person search,2020-02-25T05:28:32+00:00,51.504439,-0.090915,Controlled drugs,1
838,Person search,2020-02-25T09:14:08+00:00,51.513037,-0.091506,Article for use in theft,1
840,Person search,2020-02-25T10:06:52+00:00,51.516814,-0.08162,Stolen goods,1
845,Person and Vehicle search,2020-02-26T06:46:02+00:00,51.517032,-0.089451,Controlled drugs,1
847,Person search,2020-02-26T08:55:33+00:00,51.513037,-0.091506,Evidence of offences under the Act,1
849,Person and Vehicle search,2020-02-26T09:22:39+00:00,51.55269,-0.109594,Controlled drugs,1
851,Person and Vehicle search,2020-02-26T12:41:26+00:00,51.513171,-0.077694,Controlled drugs,1
860,Person search,2020-02-28T08:51:30+00:00,51.513928,-0.108231,Article for use in theft,1
861,Person search,2020-02-28T10:52:45+00:00,51.518262,-0.088203,Stolen goods,1
866,Person search,2020-02-29T06:18:24+00:00,51.515331,-0.089364,Article for use in theft,1
870,Person and Vehicle search,2020-02-29T08:23:08+00:00,51.513928,-0.108231,Article for use in theft,1
871,Person and Vehicle search,2020-02-29T09:48:42+00:00,51.509848,-0.104494,Controlled drugs,1
872,Person and Vehicle search,2020-02-29T10:07:26+00:00,51.509848,-0.104494,Controlled drugs,1
877,Person and Vehicle search,2020-02-29T12:52:29+00:00,51.518864,-0.097562,Controlled drugs,1
878,Person search,2020-02-29T12:54:02+00:00,51.505103,-0.099677,Controlled drugs,1
889,Person search,2020-03-02T01:26:22+00:00,51.516814,-0.08162,Stolen goods,1
890,Person search,2020-03-02T02:08:32+00:00,51.516814,-0.08162,Article for use in theft,1
892,Person search,2020-03-03T03:49:33+00:00,51.513952,-0.085833,Controlled drugs,1
897,Person and Vehicle search,2020-03-04T04:49:44+00:00,51.514151,-0.074958,Controlled drugs,1
898,Person search,2020-03-04T04:50:02+00:00,51.516814,-0.08162,Controlled drugs,1
900,Person and Vehicle search,2020-03-04T07:34:50+00:00,51.51121,-0.094206,Controlled drugs,1
905,Person search,2020-03-06T02:58:13+00:00,51.516814,-0.08162,Controlled drugs,1
914,Person search,2020-03-06T10:57:35+00:00,51.512147,-0.092077,Controlled drugs,1
