,Date,Latitude,Longitude,Object of search,Outcome linked to object of search
6832,2022-05-19 18:16:22,51.508066,-0.08778,Controlled drugs,1
6833,2022-05-19 18:16:22,51.508066,-0.08778,Controlled drugs,1
6836,2022-05-20 05:21:02,51.517244,-0.080376,Article for use in theft,1
6837,2022-05-20 05:21:02,51.517244,-0.080376,Article for use in theft,1
6838,2022-05-20 10:38:29,51.516386,-0.108965,Controlled drugs,1
6839,2022-05-20 10:38:29,51.516386,-0.108965,Controlled drugs,1
6850,2022-05-20 16:09:14,51.517231,-0.079613,Controlled drugs,1
6851,2022-05-20 16:09:14,51.517231,-0.079613,Controlled drugs,1
6854,2022-05-21 04:32:21,51.516347,-0.104887,Controlled drugs,1
6855,2022-05-21 04:32:21,51.516347,-0.104887,Controlled drugs,1
6878,2022-05-23 23:03:16,51.516814,-0.08162,Article for use in theft,1
6879,2022-05-23 23:03:16,51.516814,-0.08162,Article for use in theft,1
6890,2022-05-24 18:13:48,51.516814,-0.08162,Controlled drugs,1
6891,2022-05-24 18:13:48,51.516814,-0.08162,Controlled drugs,1
6900,2022-05-26 12:16:45,51.512596,-0.087086,Stolen goods,1
6901,2022-05-26 12:16:45,51.512596,-0.087086,Stolen goods,1
6908,2022-05-26 23:26:41,51.513114,-0.086272,Controlled drugs,1
6909,2022-05-26 23:26:41,51.513114,-0.086272,Controlled drugs,1
6916,2022-05-27 07:11:58,51.516386,-0.108965,Controlled drugs,1
6917,2022-05-27 07:11:58,51.516386,-0.108965,Controlled drugs,1
6918,2022-05-27 17:07:41,51.513114,-0.086272,Controlled drugs,1
6919,2022-05-27 17:07:41,51.513114,-0.086272,Controlled drugs,1
6930,2022-05-29 19:14:21,51.514158,-0.100179,Offensive weapons,1
6931,2022-05-29 19:14:21,51.514158,-0.100179,Offensive weapons,1
6934,2022-05-30 17:21:27,51.516497,-0.094115,Controlled drugs,1
6935,2022-05-30 17:21:27,51.516497,-0.094115,Controlled drugs,1
6936,2022-05-30 17:46:24,51.516497,-0.094115,Controlled drugs,1
6937,2022-05-30 17:46:24,51.516497,-0.094115,Controlled drugs,1
6938,2022-05-30 20:42:29,51.512135,-0.078127,Controlled drugs,1
6939,2022-05-30 20:42:29,51.512135,-0.078127,Controlled drugs,1
6940,2022-05-30 22:40:56,51.518433,-0.078856,Controlled drugs,1
