,Date,Latitude,Longitude,Outcome linked to object of search,Object of search_Article for use in theft,Object of search_Articles for use in criminal damage,Object of search_Controlled drugs,Object of search_Crossbows,Object of search_Evidence of offences under the Act,Object of search_Firearms,Object of search_Offensive weapons,Object of search_Stolen goods
140,2020-01-25 07:12:51,51.516026,-0.091151,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
141,2020-01-25 09:28:28,51.51265,-0.101452,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
142,2020-01-25 11:21:45,51.514151,-0.074958,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
143,2020-01-26 05:58:15,51.511625,-0.081549,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,2020-01-26 12:49:32,51.516886,-0.090985,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
145,2020-01-27 03:45:53,51.51905,-0.076437,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
146,2020-01-27 08:45:43,51.514766,-0.096075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147,2020-01-27 08:50:59,51.514766,-0.096075,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,2020-01-27 09:26:15,51.514203,-0.094628,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
149,2020-01-27 10:53:54,51.513928,-0.108231,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
150,2020-01-28 07:01:27,51.50995,-0.078665,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151,2020-01-29 03:15:52,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
152,2020-01-30 03:07:00,51.513194,-0.092321,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,2020-01-30 05:06:48,51.508066,-0.08778,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
154,2020-01-30 09:47:53,51.516814,-0.08162,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,2020-01-31 08:43:35,51.517196,-0.085149,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,2020-02-01 02:30:37,51.516006,-0.080573,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
157,2020-02-01 05:32:48,51.516814,-0.08162,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
158,2020-02-01 09:31:00,51.508066,-0.08778,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
159,2020-02-01 09:32:04,51.508066,-0.08778,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160,2020-02-02 05:20:11,51.515606,-0.094094,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
161,2020-02-02 06:27:50,51.516497,-0.094115,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
162,2020-02-03 02:33:05,51.510913,-0.101395,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
163,2020-02-04 03:00:51,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,2020-02-04 03:12:48,51.516814,-0.08162,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
165,2020-02-04 04:03:21,51.516508,-0.079398,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
166,2020-02-04 08:07:43,51.512598,-0.084967,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2020-02-05 04:28:09,51.511616,-0.086551,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
168,2020-02-05 10:03:11,51.511616,-0.086551,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,2020-02-06 03:15:46,51.517576,-0.079786,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
